REPOSITORY                                                                       TAG                                                     IMAGE ID            CREATED             SIZE
matthewfeickert/pythia-python                                                    pythia8.3-python3.7                                     9db8eea347e0        10 months ago       545MB
matthewfeickert/pythia-python                                                    pythia8.301-python3.7                                   9db8eea347e0        10 months ago       545MB
ucatlas/analysisbase                                                             21.2.90-latest                                          c82af0b2131f        11 months ago       2.9GB
python                                                                           <none>                                                  7e61acc68112        11 months ago       179MB
pyhf/pyhf                                                                        jax                                                     997d6cb7a608        11 months ago       3.79GB
pyhf/pyhf                                                                        jax-cuda10.1-cudnn7-runtime-ubuntu18.04                 997d6cb7a608        11 months ago       3.79GB
tesnorflow-test-build                                                            latest                                                  e9bfec4bb46f        11 months ago       3.79GB
gitlab-registry.cern.ch/scipp/pixel-monitoring                                   master                                                  f96633beda8d        11 months ago       2.38GB
pyhf/pyhf                                                                        v0.4.0-jax-cuda10.1-cudnn7-runtime-ubuntu18.04          bde30640a4bb        11 months ago       3.79GB
matthewfeickert/cuda-tf-torch                                                    cuda10.1-cudnn7-runtime-ubuntu18.04                     48b37f912e03        11 months ago       6.43GB
pyhf/pyhf                                                                        pytorch-cuda10.1-cudnn7-runtime-ubuntu18.04             9868b7bb2642        11 months ago       5.06GB
pyhf/pyhf                                                                        v0.4.0-pytorch-cuda10.1-cudnn7-runtime-ubuntu18.04      9868b7bb2642        11 months ago       5.06GB
pyhf/pyhf                                                                        tensorflow-cuda10.1-cudnn7-runtime-ubuntu18.04          7feac33bb6b5        11 months ago       5.07GB
pyhf/pyhf                                                                        v0.4.0-tensorflow-cuda10.1-cudnn7-runtime-ubuntu18.04   7feac33bb6b5        11 months ago       5.07GB
hadolint/hadolint                                                                latest                                                  4fb5ac5623f4        11 months ago       8.91MB
matthewfeickert/docker-python3-ubuntu                                            3.8.1                                                   e9c5f159d1e7        11 months ago       884MB
ubuntu                                                                           <none>                                                  ccc6e87d482b        11 months ago       64.2MB
sweber613/fractaljets                                                            HFSF2019                                                45eae253429c        11 months ago       1.24GB
sweber613/fractaljets                                                            latest                                                  45eae253429c        11 months ago       1.24GB
astefanutti/decktape                                                             2.11.0                                                  a70052cb59fc        12 months ago       442MB
pylhe/pylhe                                                                      test-build                                              7c4c0f21d738        12 months ago       200MB
matthewfeickert/python3-scipy-alpine                                             test-build                                              dec6db25c3ca        12 months ago       190MB
pyhf/pyhf                                                                        test-build                                              97e1735d938f        12 months ago       390MB
pylhe/pylhe                                                                      latest                                                  2e6260235077        12 months ago       117MB
pyhf/pyhf                                                                        v0.3.2                                                  3367049f5eb6        12 months ago       380MB
pyhf/pyhf                                                                        v0.3.1                                                  f9dd90b3d86e        12 months ago       365MB
matthewfeickert/root-fastjet                                                     latest                                                  74293b43dcc0        12 months ago       1.66GB
matthewfeickert/python3-scipy-alpine                                             latest                                                  fba7df6a582c        12 months ago       292MB
matthewfeickert/python3-scipy-alpine                                             scipy-1.2.1                                             fba7df6a582c        12 months ago       292MB
nvidia/cuda                                                                      10.1-cudnn7-runtime-ubuntu18.04                         e135227729c4        13 months ago       1.65GB
nvidia/cuda                                                                      10.2-cudnn7-runtime-ubuntu18.04                         7292243105b4        13 months ago       1.75GB
nvidia/cuda                                                                      10.2-runtime-ubuntu18.04                                b9751fd16957        13 months ago       1.29GB
